,_id,token,language_detected,remark
0,62e38c541a2555d08ade8335,wakaka,en,testing stage
1,62e3b8d71a2555d08ade8336,mulberrying,en,test run on first wikt file
2,62e3b8d81a2555d08ade8337,systempase,en,test run on first wikt file
3,62e3b8db1a2555d08ade8338,Swevel,en,test run on first wikt file
4,62e3b8de1a2555d08ade8339,tollbarriere,en,test run on first wikt file
5,62e3b8e01a2555d08ade833a,gelewd,en,test run on first wikt file
6,62e3b8e11a2555d08ade833b,eIlw,en,test run on first wikt file
7,62e3b8e21a2555d08ade833c,pitheco,en,test run on first wikt file
8,62e3b8e31a2555d08ade833d,Carfusu,en,test run on first wikt file
9,62e3b8e41a2555d08ade833e,Naren,en,test run on first wikt file
10,62e3b8e51a2555d08ade833f,Battlehawk,en,test run on first wikt file
11,62e3b8e71a2555d08ade8340,Ladying,en,test run on first wikt file
12,62e3b8e81a2555d08ade8341,waegs,en,test run on first wikt file
13,62e3b8e91a2555d08ade8342,yistl,en,test run on first wikt file
14,62e3b8ec1a2555d08ade8343,xNb,en,test run on first wikt file
15,62e3ba361a2555d08ade8344,IPYHV,en,test run on first wikt file
16,62e3ba391a2555d08ade8345,catafract,en,test run on first wikt file
17,62e3ba3f1a2555d08ade8346,trichite,en,test run on first wikt file
18,62e3ba401a2555d08ade8347,superluminic,en,test run on first wikt file
19,62e3ba421a2555d08ade8348,heishi,en,test run on first wikt file
20,62e3ba431a2555d08ade8349,NGkruma,en,test run on first wikt file
21,62e3ba451a2555d08ade834a,retroorbital,en,test run on first wikt file
22,62e3ba461a2555d08ade834b,zanasoei,en,test run on first wikt file
23,62e3ba471a2555d08ade834c,Quintarelli,en,test run on first wikt file
24,62e3ba481a2555d08ade834d,gudson,en,test run on first wikt file
25,62e3ba4b1a2555d08ade834e,tSarlz,en,test run on first wikt file
26,62e3ba4d1a2555d08ade834f,naham,en,test run on first wikt file
27,62e3ba4e1a2555d08ade8350,FHDW,en,test run on first wikt file
28,62e3ba4f1a2555d08ade8351,welh1,en,test run on first wikt file
29,62e3ba501a2555d08ade8352,misigen,en,test run on first wikt file
30,62e3ba511a2555d08ade8353,villig,en,test run on first wikt file
31,62e3ba531a2555d08ade8354,skinnable,en,test run on first wikt file
32,62e3ba541a2555d08ade8355,unresting,en,test run on first wikt file
33,62e3ba551a2555d08ade8356,DJNU,en,test run on first wikt file
34,62e3ba561a2555d08ade8357,kwes,en,test run on first wikt file
35,62e3ba581a2555d08ade8358,aelfaele,en,test run on first wikt file
36,62e3ba5a1a2555d08ade8359,SSPE,en,test run on first wikt file
37,62e3ba5b1a2555d08ade835a,subscrie,en,test run on first wikt file
38,62e3ba5c1a2555d08ade835b,trespring,en,test run on first wikt file
39,62e3ba5d1a2555d08ade835c,ellipsa,en,test run on first wikt file
40,62e3ba5e1a2555d08ade835d,transparens,en,test run on first wikt file
41,62e3ba5f1a2555d08ade835e,Bartleby,en,test run on first wikt file
42,62e3ba601a2555d08ade835f,konesaha,en,test run on first wikt file
43,62e3ba611a2555d08ade8360,umaka,en,test run on first wikt file
44,62e3ba621a2555d08ade8361,haikyu,en,test run on first wikt file
45,62e3ba641a2555d08ade8362,omentin,en,test run on first wikt file
46,62e3ba651a2555d08ade8363,Differenzierung,en,test run on first wikt file
47,62e3ba661a2555d08ade8364,prelum,en,test run on first wikt file
48,62e3ba671a2555d08ade8365,dagId,en,test run on first wikt file
49,62e3ba681a2555d08ade8366,distresse,en,test run on first wikt file
50,62e3ba691a2555d08ade8367,prunyht,en,test run on first wikt file
51,62e3ba6a1a2555d08ade8368,statistik,en,test run on first wikt file
52,62e3ba6b1a2555d08ade8369,afraz,en,test run on first wikt file
53,62e3ba6c1a2555d08ade836a,comunismo,en,test run on first wikt file
54,62e3ba6d1a2555d08ade836b,childberyng,en,test run on first wikt file
55,62e3ba6f1a2555d08ade836c,sux,en,test run on first wikt file
56,62e3ba721a2555d08ade836d,KnMBCwAAQBAJ,en,test run on first wikt file
57,62e3ba731a2555d08ade836e,rotationnel,en,test run on first wikt file
58,62e3ba741a2555d08ade836f,Fabricio,en,test run on first wikt file
59,62e3ba751a2555d08ade8370,lofzo,en,test run on first wikt file
60,62e3ba761a2555d08ade8371,folioend,en,test run on first wikt file
61,62e3ba771a2555d08ade8372,mosdokagylo,en,test run on first wikt file
62,62e3ba781a2555d08ade8373,Haitio,en,test run on first wikt file
63,62e3ba791a2555d08ade8374,IVSHI,en,test run on first wikt file
