,_id,token,contexts,context_count,remarks
0,62f0e7c67b1fd5ee07267ab2,max,"[{'context_no': 1, 'language': 'en', 'pos_tag': 'noun', 'offensive': False, 'stems': ['max', 'maxes', 'to the max'], 'sentence_usage': [], 'sense': ['{bc}{sx|maximum||1}', '{bc}{sx|maximum||2}'], 'word_source': 'MW', 'remark': 'winnie testing 123'}, {'context_no': 2, 'language': 'en', 'pos_tag': 'verb', 'offensive': False, 'stems': ['max out', 'maxed out', 'maxes out', 'maxing out'], 'sentence_usage': ['the car {it}maxed out{/it} at 85 mph'], 'sense': ['{bc}to reach an upper limit or a peak '], 'word_source': 'MW', 'remark': 'winnie testing 123'}, {'context_no': 3, 'language': 'en', 'pos_tag': 'noun', 'offensive': False, 'stems': ['VO2 max', 'VO2 maxes'], 'sentence_usage': [], 'sense': ['{bc}the maximum amount of oxygen the body can utilize during a specified period of usually intense exercise'], 'word_source': 'MW', 'remark': 'winnie testing 123'}, {'context_no': 4, 'language': 'en', 'pos_tag': 'biographical name', 'offensive': False, 'stems': ['Beerbohm', 'Max Beerbohm', 'Sir Max Beerbohm'], 'sentence_usage': [], 'sense': ['Sir Max 1872–1956 English critic and caricaturist'], 'word_source': 'MW', 'remark': 'winnie testing 123'}, {'context_no': 5, 'language': 'en', 'pos_tag': 'biographical name', 'offensive': False, 'stems': ['Born', 'Max Born'], 'sentence_usage': [], 'sense': ['Max 1882–1970 German physicist'], 'word_source': 'MW', 'remark': 'winnie testing 123'}, {'context_no': 6, 'language': 'en', 'pos_tag': 'biographical name', 'offensive': False, 'stems': ['Bruch', 'Max Bruch', 'Max Karl August Bruch'], 'sentence_usage': [], 'sense': ['Max (Karl August) 1838–1920 German composer'], 'word_source': 'MW', 'remark': 'winnie testing 123'}, {'context_no': 7, 'language': 'en', 'pos_tag': 'biographical name', 'offensive': False, 'stems': ['Caldwell', 'J. Miriam Reback', 'Janet Miriam Holland Taylor Caldwell', 'Janet Taylor Caldwell', 'Marcus Holland', 'Max Reiner', 'Taylor Caldwell'], 'sentence_usage': [], 'sense': ['(Janet) Taylor 1900–1985 American (English-born) author'], 'word_source': 'MW', 'remark': 'winnie testing 123'}, {'context_no': 8, 'language': 'en', 'pos_tag': 'biographical name', 'offensive': False, 'stems': ['Eastman', 'Max Eastman', 'Max Forrester Eastman'], 'sentence_usage': [], 'sense': ['Max Forrester 1883–1969 American editor and writer'], 'word_source': 'MW', 'remark': 'winnie testing 123'}, {'context_no': 9, 'language': 'en', 'pos_tag': 'biographical name', 'offensive': False, 'stems': ['Ernst', 'Max Ernst', 'Maximilian Maria Ernst'], 'sentence_usage': [], 'sense': ['Max 1891–1976 German painter'], 'word_source': 'MW', 'remark': 'winnie testing 123'}, {'context_no': 10, 'language': 'en', 'pos_tag': 'biographical name', 'offensive': False, 'stems': ['Immelmann', 'Max Immelmann'], 'sentence_usage': [], 'sense': ['Max 1890–1916 German aviator'], 'word_source': 'MW', 'remark': 'winnie testing 123'}]",10,testing/debugging stage - wyxl
1,62f0e7c67b1fd5ee07267ab3,HUAC,"[{'context_no': 1, 'language': 'en', 'pos_tag': 'abbreviation', 'offensive': False, 'stems': ['HUAC'], 'sentence_usage': [], 'sense': ['House Un-American Activities Committee'], 'word_source': 'MW', 'remark': 'winnie testing 123'}]",1,testing/debugging stage - wyxl
2,62f0e7c67b1fd5ee07267ab4,obligation,"[{'context_no': 1, 'language': 'en', 'pos_tag': 'noun', 'offensive': False, 'stems': ['obligation', 'obligations'], 'sentence_usage': [""made an {wi}obligation{/wi} to pay their children's college expenses"", 'felt an {wi}obligation{/wi} to vote', 'returned the favor as an {wi}obligation{/wi}', 'countries in which military service is an {wi}obligation{/wi}', 'fulfilled their familial {wi}obligations{/wi}'], 'sense': ['{bc}the action of {d_link|obligating|obligate:1} oneself to a course of action (as by a promise or vow)', '{bc}something (such as a formal contract, a promise, or the demands of conscience or custom) that obligates one to a course of action ', '{bc}a debt security (such as a mortgage or corporate bond)', '{bc}a commitment (as by a government) to pay a particular sum of money', '{bc}a condition or feeling of being obligated ', '{bc}a debt of gratitude ', '{bc}something one is bound to do {bc}{sx|duty||}, {sx|responsibility||} '], 'word_source': 'MW', 'remark': 'winnie testing 123'}, {'context_no': 2, 'language': 'en', 'pos_tag': 'noun phrase', 'offensive': False, 'stems': ['holy day of obligation'], 'sentence_usage': [], 'sense': ['{bc}a feast on which Roman Catholics are duty-bound to attend mass'], 'word_source': 'MW', 'remark': 'winnie testing 123'}, {'context_no': 3, 'language': 'en', 'pos_tag': 'idiom', 'offensive': False, 'stems': ['not under any obligation'], 'sentence_usage': ['You are {it}not under any obligation{/it} to stay.'], 'sense': ['{bc}not required (to do something) '], 'word_source': 'MW', 'remark': 'winnie testing 123'}, {'context_no': 4, 'language': 'en', 'pos_tag': 'noun phrase', 'offensive': False, 'stems': ['sense of obligation'], 'sentence_usage': ['We visited them out of a {it}sense of obligation{/it}.'], 'sense': ['{bc}a feeling that something is the right thing to do '], 'word_source': 'MW', 'remark': 'winnie testing 123'}, {'context_no': 5, 'language': 'en', 'pos_tag': 'idiom', 'offensive': False, 'stems': ['under no legal obligation'], 'sentence_usage': [""You're {it}under no legal obligation{/it} to return the money.""], 'sense': ['{bc}not required (to do something) by a law '], 'word_source': 'MW', 'remark': 'winnie testing 123'}, {'context_no': 6, 'language': 'en', 'pos_tag': 'idiom', 'offensive': False, 'stems': ['under no obligation'], 'sentence_usage': ['You are {it}under no obligation{/it} to stay.'], 'sense': ['{bc}not required (to do something) '], 'word_source': 'MW', 'remark': 'winnie testing 123'}, {'context_no': 7, 'language': 'en', 'pos_tag': 'idiom', 'offensive': False, 'stems': ['without obligation'], 'sentence_usage': ['You can try the machine for free {it}without obligation{/it}.'], 'sense': ['{bc}without being required to do anything else (such as buy something) '], 'word_source': 'MW', 'remark': 'winnie testing 123'}]",7,testing/debugging stage - wyxl
3,62f0e7c67b1fd5ee07267ab5,festivity,"[{'context_no': 1, 'language': 'en', 'pos_tag': 'noun', 'offensive': False, 'stems': ['festivities', 'festivity'], 'sentence_usage': [], 'sense': ['{bc}{sx|festival||1}', '{bc}the quality or state of being {a_link|festive} {bc}{sx|gaiety||}', '{bc}festive activity'], 'word_source': 'MW', 'remark': 'winnie testing 123'}]",1,testing/debugging stage - wyxl
4,62f0e7c67b1fd5ee07267ab6,liquefy,"[{'context_no': 1, 'language': 'en', 'pos_tag': 'verb', 'offensive': False, 'stems': ['liquefied', 'liquefier', 'liquefiers', 'liquefies', 'liquefy', 'liquefying', 'liquified', 'liquifies', 'liquify', 'liquifying'], 'sentence_usage': [], 'sense': ['{bc}to reduce to a {a_link|liquid} state'], 'word_source': 'MW', 'remark': 'winnie testing 123'}]",1,testing/debugging stage - wyxl
5,62f0e7c67b1fd5ee07267ab7,Bukharinb,"[{'context_no': 1, 'language': 'en', 'pos_tag': 'biographical name', 'offensive': False, 'stems': ['Bukharin', 'Nikolai Bukharin', 'Nikolai Ivanovich Bukharin', 'Nikolay Bukharin', 'Nikolay Ivanovich Bukharin'], 'sentence_usage': [], 'sense': ['Nikolay Ivanovich 1888–1938 Russian Communist leader and editor'], 'word_source': 'MW', 'remark': 'winnie testing 123'}, {'context_no': 2, 'language': 'en', 'pos_tag': 'biographical name', 'offensive': False, 'stems': ['Bulganin', 'Nikolai Aleksandrovich Bulganin', 'Nikolai Bulganin', 'Nikolay Aleksandrovich Bulganin', 'Nikolay Bulganin'], 'sentence_usage': [], 'sense': ['Nikolay Aleksandrovich 1895–1975 Russian politician and marshal'], 'word_source': 'MW', 'remark': 'winnie testing 123'}]",2,testing/debugging stage - wyxl
6,62f0e7c67b1fd5ee07267ab8,floatplane,"[{'context_no': 1, 'language': 'en', 'pos_tag': 'noun', 'offensive': False, 'stems': ['floatplane', 'floatplanes'], 'sentence_usage': [], 'sense': ['{bc}a seaplane supported on the water by one or more {a_link|floats}'], 'word_source': 'MW', 'remark': 'winnie testing 123'}]",1,testing/debugging stage - wyxl
7,62f0e7c67b1fd5ee07267ab9,subprogram,"[{'context_no': 1, 'language': 'en', 'pos_tag': 'noun', 'offensive': False, 'stems': ['subprogram', 'subprograms'], 'sentence_usage': [], 'sense': ['{bc}a semi-independent portion of a program (as for a computer)'], 'word_source': 'MW', 'remark': 'winnie testing 123'}]",1,testing/debugging stage - wyxl
8,62f0e7c67b1fd5ee07267aba,mustang,"[{'context_no': 1, 'language': 'en', 'pos_tag': 'noun', 'offensive': False, 'stems': ['mustang', 'mustangs'], 'sentence_usage': [], 'sense': ['{bc}a small hardy naturalized horse of U.S. western plains directly descended from horses brought in by the Spaniards', '{bc}a commissioned officer (as in the U.S. Navy) who has risen from the ranks'], 'word_source': 'MW', 'remark': 'winnie testing 123'}, {'context_no': 2, 'language': 'en', 'pos_tag': 'geographical name', 'offensive': False, 'stems': ['Lo', 'Mustang'], 'sentence_usage': [], 'sense': ['historical Himalayan kingdom in remote northern Nepal bordered by Tibet on the west, north, and east'], 'word_source': 'MW', 'remark': 'winnie testing 123'}, {'context_no': 3, 'language': 'en', 'pos_tag': 'geographical name', 'offensive': False, 'stems': ['Mustang Island'], 'sentence_usage': [], 'sense': ['barrier island in southern Texas that separates Corpus Christi Bay from the Gulf of Mexico'], 'word_source': 'MW', 'remark': 'winnie testing 123'}]",3,testing/debugging stage - wyxl
9,62f0e7c67b1fd5ee07267abb,Uzi,"[{'context_no': 1, 'language': 'en', 'pos_tag': 'trademark', 'offensive': False, 'stems': ['Uzi', 'Uzis'], 'sentence_usage': [], 'sense': [], 'word_source': 'MW', 'remark': 'winnie testing 123'}]",1,testing/debugging stage - wyxl
